,time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,Interval,Label MA
332,2019-04-14 20:00:00.000,2019-04-14 21:00:00.000,2019-04-14 20:00:00.000,2019-04-14 20:59:59.355,5083.588400500001,5670.59,4900.002,5090.72,2067.85676593,5321,7,3.585714285714286
333,2019-04-14 21:00:00.000,2019-04-14 22:00:00.000,2019-04-14 21:00:00.000,2019-04-14 21:59:59.955,5087.69,5675.53,5031.33,5105.0,2500.797937768,5608,7,3.588235294117647
334,2019-04-14 22:00:00.000,2019-04-14 23:00:00.000,2019-04-14 22:00:00.000,2019-04-14 22:59:58.147,5142.0,5751.68,5048.4700299999995,5160.88,6262.802818335,14524,7,3.579710144927536
335,2019-04-14 23:00:00.000,2019-04-15 00:00:00.000,2019-04-14 23:00:00.000,2019-04-14 23:59:59.397,5195.8,5748.23,5031.33,5164.27,2900.877055803,6880,7,3.5205479452054793
336,2019-04-15 00:00:00.000,2019-04-15 01:00:00.000,2019-04-15 00:00:01.000,2019-04-15 00:59:57.314,5194.3,5737.46,5099.08,5154.45,2782.575476908,6323,7,3.5217391304347827
337,2019-04-15 01:00:00.000,2019-04-15 02:00:00.000,2019-04-15 01:00:02.272,2019-04-15 01:59:59.818,5156.0,5749.02,5120.77742192,5166.09,3335.627740378,6956,7,3.5285714285714285
338,2019-04-15 02:00:00.000,2019-04-15 03:00:00.000,2019-04-15 02:00:00.000,2019-04-15 02:59:57.609,5167.0,5739.57,5101.0,5168.37,2541.240271352,5212,7,3.5285714285714285
339,2019-04-15 03:00:00.000,2019-04-15 04:00:00.000,2019-04-15 03:00:00.000,2019-04-15 03:59:59.676,5172.69282439,5735.5,5102.0,5161.4,2546.620565848,5244,7,3.5588235294117645
340,2019-04-15 04:00:00.000,2019-04-15 05:00:00.000,2019-04-15 04:00:00.000,2019-04-15 04:59:57.899,5165.88,5757.35,5068.22823253,5183.61,2426.478870265,5351,7,3.550724637681159
341,2019-04-15 05:00:00.000,2019-04-15 06:00:00.000,2019-04-15 05:00:00.000,2019-04-15 05:59:57.000,5215.6,5755.29,5100.0,5170.23226877,2385.728220306,4939,7,3.550724637681159
342,2019-04-15 06:00:00.000,2019-04-15 07:00:00.000,2019-04-15 06:00:04.000,2019-04-15 06:59:59.000,5248.99999,5737.35,5097.07001,5158.35223726,2768.37223921,4554,7,3.5492957746478875
343,2019-04-15 07:00:00.000,2019-04-15 08:00:00.000,2019-04-15 07:00:03.538,2019-04-15 07:59:59.865,5164.0,5730.34,5000.0,5161.54,2932.9733827009995,5416,7,3.563380281690141
344,2019-04-15 08:00:00.000,2019-04-15 09:00:00.000,2019-04-15 08:00:00.000,2019-04-15 08:59:58.847,5194.8,5728.46,5070.05646,5153.25,2568.50947543,4645,7,3.5625
345,2019-04-15 09:00:00.000,2019-04-15 10:00:00.000,2019-04-15 09:00:00.000,2019-04-15 09:59:59.000,5149.66,5728.71,5098.26,5195.6,2320.452598657,4009,8,3.5875
346,2019-04-15 10:00:00.000,2019-04-15 11:00:00.000,2019-04-15 10:00:00.117,2019-04-15 10:59:58.000,5156.28,5729.12,4970.27132918,5395.000009,3535.79577191,5832,8,3.5952380952380953
347,2019-04-15 11:00:00.000,2019-04-15 12:00:00.000,2019-04-15 11:00:00.000,2019-04-15 11:59:59.558,5175.5,5711.8,3952.0,5134.0,2705.732021114,5098,8,3.567901234567901
348,2019-04-15 12:00:00.000,2019-04-15 13:00:00.000,2019-04-15 12:00:00.000,2019-04-15 12:59:59.719,5137.43145089,5714.09,4990.73772922,5147.68,2903.0821179229997,5978,8,3.4761904761904763
349,2019-04-15 13:00:00.000,2019-04-15 14:00:00.000,2019-04-15 13:00:00.000,2019-04-15 13:59:59.000,5146.97,5714.34,4941.0,5019.86071022,2223.928819163,5016,8,3.4942528735632186
350,2019-04-15 14:00:00.000,2019-04-15 15:00:00.000,2019-04-15 14:00:00.000,2019-04-15 14:59:59.000,5195.0,5954.5146,4912.0,5181.0,3828.0433856970003,10040,8,3.5
351,2019-04-15 15:00:00.000,2019-04-15 16:00:00.000,2019-04-15 15:00:00.000,2019-04-15 15:59:59.790,5182.3,5731.08,5024.29681363,5159.7,2823.4327564459995,7528,8,3.4895833333333335
352,2019-04-15 16:00:00.000,2019-04-15 17:00:00.000,2019-04-15 16:00:00.000,2019-04-15 16:59:59.000,5186.4815142,5730.17,5011.03634876,5132.78,3147.6998145420002,8025,8,3.504950495049505
353,2019-04-15 17:00:00.000,2019-04-15 18:00:00.000,2019-04-15 17:00:00.000,2019-04-15 17:59:59.867,5132.78,5704.51,4551.0,5087.25,9913.449792262,24827,8,3.4948453608247423
354,2019-04-15 18:00:00.000,2019-04-15 19:00:00.000,2019-04-15 18:00:00.000,2019-04-15 18:59:58.344,5062.03,5625.15,4610.0,5049.9,4163.882362977,10872,8,3.484536082474227
355,2019-04-15 19:00:00.000,2019-04-15 20:00:00.000,2019-04-15 19:00:00.963,2019-04-15 19:59:59.257,5049.79,5622.34,4880.0,5014.75,4792.913930718,11148,8,3.5
356,2019-04-15 20:00:00.000,2019-04-15 21:00:00.000,2019-04-15 20:00:00.000,2019-04-15 20:59:59.000,5033.1,5595.67,4881.0,5040.5,6216.960972581,14575,8,3.504854368932039
357,2019-04-15 21:00:00.000,2019-04-15 22:00:00.000,2019-04-15 21:00:00.386,2019-04-15 21:59:59.000,5021.24,5602.53,4883.0,5019.9,2866.894142961,6990,8,3.495145631067961
358,2019-04-15 22:00:00.000,2019-04-15 23:00:00.000,2019-04-15 22:00:00.274,2019-04-15 22:59:59.583,5023.56,5618.61,4949.0,5042.03,3311.153029895,6793,8,3.495145631067961
359,2019-04-15 23:00:00.000,2019-04-16 00:00:00.000,2019-04-15 23:00:00.000,2019-04-15 23:59:59.000,5053.3,5625.03,4966.0,5027.31,3432.8008115999996,6407,8,3.5454545454545454
360,2019-04-16 00:00:00.000,2019-04-16 01:00:00.000,2019-04-16 00:00:00.000,2019-04-16 00:59:59.856,5027.33,5614.48,4982.10001,5049.2,2992.7070484670003,6873,8,3.5588235294117645
361,2019-04-16 01:00:00.000,2019-04-16 02:00:00.000,2019-04-16 01:00:00.000,2019-04-16 01:59:59.363,5060.2,5627.29,4972.17,5051.52,2798.9900866340004,5546,8,3.5728155339805827
