time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2019-05-04T14:00:00.0000000Z,2019-05-04T15:00:00.0000000Z,2019-05-04T14:00:00.0000000Z,2019-05-04T14:59:59.6230000Z,5900,6114.41,5471.06575,5578.28,5680.846124211,12365
2019-05-04T15:00:00.0000000Z,2019-05-04T16:00:00.0000000Z,2019-05-04T15:00:00.0000000Z,2019-05-04T15:59:57.5200000Z,5932.05378678,6109.11,5450.11112,5551.3,3652.132877804,8043
2019-05-04T16:00:00.0000000Z,2019-05-04T17:00:00.0000000Z,2019-05-04T16:00:00.9260000Z,2019-05-04T16:59:59.0000000Z,5555,6113.21,5500,5934.7,2710.010975225,7779
2019-05-04T17:00:00.0000000Z,2019-05-04T18:00:00.0000000Z,2019-05-04T17:00:00.0000000Z,2019-05-04T17:59:59.9350000Z,5934.7,6124.85,5455.75013,5589,3512.516341613,7450
2019-05-04T18:00:00.0000000Z,2019-05-04T19:00:00.0000000Z,2019-05-04T18:00:01.1420000Z,2019-05-04T18:59:59.0000000Z,5589,6588.4318,5471.61383,5590.76,4069.075295711,6117
2019-05-04T19:00:00.0000000Z,2019-05-04T20:00:00.0000000Z,2019-05-04T19:00:01.7500000Z,2019-05-04T19:59:59.0000000Z,5591.21,6140.79,5489.04002,5610.79,3249.147621226,6628
2019-05-04T20:00:00.0000000Z,2019-05-04T21:00:00.0000000Z,2019-05-04T20:00:00.0000000Z,2019-05-04T20:59:59.5320000Z,5746.18442129,6392,5546.53195,5811.423,4363.256036031,8505
2019-05-04T21:00:00.0000000Z,2019-05-04T22:00:00.0000000Z,2019-05-04T21:00:00.0000000Z,2019-05-04T21:59:59.0000000Z,5682.18,6338.38,5561.55751,5723.46807017,7874.567239367,18870
2019-05-04T22:00:00.0000000Z,2019-05-04T23:00:00.0000000Z,2019-05-04T22:00:00.0000000Z,2019-05-04T22:59:59.8700000Z,5780.87,6353.5,5650,5820,4637.003868614,10967
2019-05-04T23:00:00.0000000Z,2019-05-05T00:00:00.0000000Z,2019-05-04T23:00:00.0000000Z,2019-05-04T23:59:59.8000000Z,5801.05206806,6347.83,5610,5770.242,4619.109101259,8849
2019-05-05T00:00:00.0000000Z,2019-05-05T01:00:00.0000000Z,2019-05-05T00:00:01.6360000Z,2019-05-05T00:59:59.2870000Z,5770.01,6302.94,5401.01,5750.65,4489.90754578,10176
2019-05-05T01:00:00.0000000Z,2019-05-05T02:00:00.0000000Z,2019-05-05T01:00:01.8040000Z,2019-05-05T01:59:59.9750000Z,5750.64,6277.83,5636.67420576,5735.77,2655.736482725,5833
2019-05-05T02:00:00.0000000Z,2019-05-05T03:00:00.0000000Z,2019-05-05T02:00:00.4470000Z,2019-05-05T02:59:59.8990000Z,5735.77,6295.21,5608.99999,5732.1,2467.924056024,5010
2019-05-05T03:00:00.0000000Z,2019-05-05T04:00:00.0000000Z,2019-05-05T03:00:00.0000000Z,2019-05-05T03:59:58.0000000Z,5736.18,6286.05,5608.63405,6088.15353223,2554.86453034,4765
2019-05-05T04:00:00.0000000Z,2019-05-05T05:00:00.0000000Z,2019-05-05T04:00:00.0000000Z,2019-05-05T04:59:58.3770000Z,5752.6,6274.61,5601.22738,5719.83,3229.353261151,5125
2019-05-05T05:00:00.0000000Z,2019-05-05T06:00:00.0000000Z,2019-05-05T05:00:00.0000000Z,2019-05-05T05:59:58.0000000Z,5707.78518999,6281.56,5603.40213,5740.3,2156.599269344,5267
2019-05-05T06:00:00.0000000Z,2019-05-05T07:00:00.0000000Z,2019-05-05T06:00:00.1760000Z,2019-05-05T06:59:59.5710000Z,5746.5,6284.49,5635,5738.32,2368.169129802,4921
2019-05-05T07:00:00.0000000Z,2019-05-05T08:00:00.0000000Z,2019-05-05T07:00:00.0000000Z,2019-05-05T07:59:59.3680000Z,5728.86353671,6268.72,5650,5814.125,2793.054171781,5164
2019-05-05T08:00:00.0000000Z,2019-05-05T09:00:00.0000000Z,2019-05-05T08:00:00.0000000Z,2019-05-05T08:59:58.0000000Z,5703.49,6251.25,5638.35,5715.55,2515.583326099,6517
2019-05-05T09:00:00.0000000Z,2019-05-05T10:00:00.0000000Z,2019-05-05T09:00:00.0000000Z,2019-05-05T09:59:56.4640000Z,5813.13180394,6250.58,5642.60001,5704.4,2124.490256041,4184
2019-05-05T10:00:00.0000000Z,2019-05-05T11:00:00.0000000Z,2019-05-05T10:00:00.0000000Z,2019-05-05T10:59:59.0000000Z,6039.9,6261.31,5643,5737.5204405,2689.085949552,4570
2019-05-05T11:00:00.0000000Z,2019-05-05T12:00:00.0000000Z,2019-05-05T11:00:01.0000000Z,2019-05-05T11:59:57.4020000Z,5764.36031644,6260.93,5631.1440057,5708.73,2193.444950866,4118
2019-05-05T12:00:00.0000000Z,2019-05-05T13:00:00.0000000Z,2019-05-05T12:00:00.0000000Z,2019-05-05T12:59:59.3030000Z,6034.82298646,6866.0608,5660,5735.97,2188.458096204,4356
2019-05-05T13:00:00.0000000Z,2019-05-05T14:00:00.0000000Z,2019-05-05T13:00:01.0710000Z,2019-05-05T13:59:59.5760000Z,5730.41,6270.79,5668,5844.619,2174.411841492,4657
2019-05-05T14:00:00.0000000Z,2019-05-05T15:00:00.0000000Z,2019-05-05T14:00:00.0000000Z,2019-05-05T14:59:58.9130000Z,5751.28990825,6253.43,5649.41,5721.98,3157.817216689,6919
2019-05-05T15:00:00.0000000Z,2019-05-05T16:00:00.0000000Z,2019-05-05T15:00:00.1990000Z,2019-05-05T15:59:59.6120000Z,5721.98,6246.43,5401,5711.41,2542.108883955,5396
2019-05-05T16:00:00.0000000Z,2019-05-05T17:00:00.0000000Z,2019-05-05T16:00:01.0000000Z,2019-05-05T16:59:59.0000000Z,5717.89,6899.882701994066,5650.27,6013.7,2819.930055119,7452
2019-05-05T17:00:00.0000000Z,2019-05-05T18:00:00.0000000Z,2019-05-05T17:00:00.0000000Z,2019-05-05T17:59:59.7590000Z,5780.96750554,6229.1,5627.53,5672.6,2593.116301112,6441
2019-05-05T18:00:00.0000000Z,2019-05-05T19:00:00.0000000Z,2019-05-05T18:00:00.0000000Z,2019-05-05T18:59:59.3900000Z,5990,6243.1,5401,5718.144,3516.90406288,9347
2019-05-05T19:00:00.0000000Z,2019-05-05T20:00:00.0000000Z,2019-05-05T19:00:02.9150000Z,2019-05-05T19:59:58.0000000Z,5716.41,6249.01,5456,5705.98,1964.038239551,5623
2019-05-05T20:00:00.0000000Z,2019-05-05T21:00:00.0000000Z,2019-05-05T20:00:00.0000000Z,2019-05-05T20:59:59.8600000Z,5702,7193.0022,5458,5771.57,3693.356660248,8491
2019-05-05T21:00:00.0000000Z,2019-05-05T22:00:00.0000000Z,2019-05-05T21:00:00.0000000Z,2019-05-05T21:59:59.0000000Z,5766.32,6307.55,5573.11679696,5657.0695149,3724.367731003,8252
2019-05-05T22:00:00.0000000Z,2019-05-05T23:00:00.0000000Z,2019-05-05T22:00:00.0000000Z,2019-05-05T22:59:59.0000000Z,6064.6,6276.97,5619.91755063,6033.82729975,3036.715152283,6245
2019-05-05T23:00:00.0000000Z,2019-05-06T00:00:00.0000000Z,2019-05-05T23:00:00.3270000Z,2019-05-05T23:59:59.4550000Z,5706.99,6266.84,5039.5,5715.86,2659.495953317,5222
